IndID	Sex	Source	Region	Population	Ancestry	AncestryOriginal	IndLab	Recruitment	Reps	AFR	EUR	AYMARA	CHILE_SUR	AMERINDIO
NA18488	F	1000G	AFR	YRI	African	African	NA18488	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18489	F	1000G	AFR	YRI	African	African	NA18489	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18519	M	1000G	AFR	YRI	African	African	NA18519	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18520	F	1000G	AFR	YRI	African	African	NA18520	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18868	M	1000G	AFR	YRI	African	African	NA18868	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18909	F	1000G	AFR	YRI	African	African	NA18909	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18916	F	1000G	AFR	YRI	African	African	NA18916	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA18933	F	1000G	AFR	YRI	African	African	NA18933	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19095	F	1000G	AFR	YRI	African	African	NA19095	AFR	1	0.999959	1.1e-05	1e-05	1e-05	2e-05
NA19096	M	1000G	AFR	YRI	African	African	NA19096	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19108	F	1000G	AFR	YRI	African	African	NA19108	AFR	1	0.999957	1.3e-05	1e-05	1e-05	2e-05
NA19113	M	1000G	AFR	YRI	African	African	NA19113	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19117	M	1000G	AFR	YRI	African	African	NA19117	AFR	1	0.999958	1e-05	1e-05	1.2e-05	2.2e-05
NA19121	M	1000G	AFR	YRI	African	African	NA19121	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19146	M	1000G	AFR	YRI	African	African	NA19146	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19149	F	1000G	AFR	YRI	African	African	NA19149	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19159	F	1000G	AFR	YRI	African	African	NA19159	AFR	1	0.999957	1.3e-05	1e-05	1e-05	2e-05
NA19160	M	1000G	AFR	YRI	African	African	NA19160	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19171	M	1000G	AFR	YRI	African	African	NA19171	AFR	1	0.999958	1e-05	1e-05	1.2e-05	2.2e-05
NA19175	M	1000G	AFR	YRI	African	African	NA19175	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19185	F	1000G	AFR	YRI	African	African	NA19185	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19190	F	1000G	AFR	YRI	African	African	NA19190	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19197	F	1000G	AFR	YRI	African	African	NA19197	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19198	M	1000G	AFR	YRI	African	African	NA19198	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19213	M	1000G	AFR	YRI	African	African	NA19213	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19214	F	1000G	AFR	YRI	African	African	NA19214	AFR	1	0.999958	1e-05	1.2e-05	1e-05	2.2e-05
NA19235	F	1000G	AFR	YRI	African	African	NA19235	AFR	1	0.999959	1.1e-05	1e-05	1e-05	2e-05
NA19247	F	1000G	AFR	YRI	African	African	NA19247	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19256	M	1000G	AFR	YRI	African	African	NA19256	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA19257	F	1000G	AFR	YRI	African	African	NA19257	AFR	1	0.99996	1e-05	1e-05	1e-05	2e-05
NA06984	M	1000G	EUR	CEU	European	European	NA06984	EUR	1	1e-05	0.99996	1e-05	1e-05	2e-05
